Dictionary Name,Total Sentences (#),Total Correct Transformations (#),Total Pos->Pos Transformations (#),Correct Pos->Pos Transformations (#),Total Pos->Neg Transformations (#),Correct Pos->Neg Transformations (#),Correct Pos->Pos Transformations (%),Correct Pos->Neg Transformations (%),Total Correct Transformations (%),Total source tokens,Total Prediction Tokens per Source,Total Target Tokens per Source,Pos->Pos Token Precision (%),Pos->Neg Token Precision (%),Pos->Pos Token Recall (%),Pos->Neg Token Recall (%),Pos->Pos Category Precision (%),Pos->Neg Category Precision (%),Pos->Pos Category Recall (%),Pos->Neg Category Recall (%),Parseable Sentences (#),Pos->Pos Parseable Sentences (#),Pos->Neg Parseable Sentences (#),Parseable Sentences (%),Pos->Pos Parseable Sentences (%),Pos->Neg Parseable Sentences (%),Pos->Pos Preseve Tree Structures (%),Pos->Pos Preserve Significant Clauses (%),Pos->Neg Preseve Tree Structures (%),Pos->Neg Preserve Significant Clauses (%),Pos->Neg Predictions with Main Clause (#),Pos->Neg Predictions that Negate Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (#),Pos->Neg Predictions that Negate Outside Main Clause (%),Pos->Neg Predictions without Main Clause (#),Pos->Neg Predictions that Negate Main Clause (Denominator: all Pos->Neg sentences),Pos->Neg Predictions that Negate Main Clause (Denominator: only Pos->Neg sentences with main clauses),Pos->Neg Predictions with Main Clause (%),Pos->Neg Predictions Containing the Target Verb (#),Pos->Neg Predictions Containing the Target Verb (%),Pos->Neg Prediction Negating the Target Verb (#),Pos->Neg Predictions Negating the Target Verb (Denominator: all pos->neg sentences),Pos->Neg Predictions Negating the Target Verb (Denominator: pos->neg with target verb)
7,182,80,80,80,102,0,1,0,0.44,714,815.8,816,1,0.5,1,0.5,1,0.5,1,0.5,181.2,80,101.2,1,1,0.99,1,1,0,0.99,101.2,0,101.2,1,0,0,0,0.99,102,1,8,0.08,0.08
8,114,60.8,60,60,54,0.8,1,0.01,0.53,432,485.2,486,1,0.55,1,0.54,1,0.55,1,0.54,101.4,60,41.4,0.89,1,0.77,1,1,0.01,0.75,41.4,0.8,39.6,0.95,0,0.01,0.02,0.77,54,1,5.8,0.11,0.11
9,806,415.2,415,415,391,0.2,1,0,0.52,3519,3909,3910,1,0.5,1,0.5,1,0.5,1,0.5,798,415,383,0.99,1,0.98,1,1,0,0.98,383,0.2,381.8,1,0,0,0,0.98,391,1,0.4,0,0
10,406,192.8,192,192,214,0.8,1,0,0.47,2140,2345,2354,1,0.53,1,0.53,1,0.53,1,0.53,356.8,192,164.8,0.88,1,0.77,1,1,0,0.74,164,0.8,157.2,0.95,0.8,0,0.01,0.77,213,1,0.8,0,0
11,799,400,400,400,399,0,1,0,0.5,4389,4785.4,4788,1,0.5,1,0.5,1,0.5,1,0.5,786.4,400,386.4,0.98,1,0.97,1,1,0,0.96,386.2,0,383.8,0.99,0.2,0,0,0.97,399,1,44,0.11,0.11
12,424,202,202,202,222,0,1,0,0.48,2664,2873.6,2886,1,0.53,1,0.53,1,0.53,1,0.53,378,202,176,0.89,1,0.79,1,1,0,0.74,175.8,0,165,0.94,0.2,0,0,0.79,221.8,1,23,0.1,0.1
13,715,361,361,361,354,0,1,0,0.5,4602,4953.4,4956,1,0.51,1,0.51,1,0.51,1,0.51,701.6,361,340.6,0.98,1,0.96,1,1,0,0.95,340.6,0,337.6,0.99,0,0,0,0.96,354,1,2.8,0.01,0.01
14,523,257.4,257,257,266,0.4,1,0,0.49,3724,3980.2,3990,1,0.52,1,0.52,1,0.52,1,0.52,478.2,257,221.2,0.91,1,0.83,1,1,0,0.8,221.2,0.4,213.2,0.96,0,0,0,0.83,265.2,1,1,0,0
15,1559,761.6,761,761,798,0.6,1,0,0.49,11970,12761.6,12768,1,0.5,1,0.5,1,0.5,1,0.5,1536.2,761,775.2,0.99,1,0.97,1,1,0,0.97,775.2,0.6,769.8,0.99,0,0,0,0.97,797.8,1,56.6,0.07,0.07
16,1063,524.4,524,524,539,0.4,1,0,0.49,8624,9136.6,9163,1,0.52,1,0.52,1,0.52,1,0.52,987.2,524,463.2,0.93,1,0.86,1,1,0,0.82,462.8,0.4,440.4,0.95,0.4,0,0,0.86,538.8,1,48.2,0.09,0.09
17,462,236,236,235.8,226,0.2,1,0,0.51,3842,4052.2,4068,1,0.52,1,0.52,1,0.52,1,0.52,421.2,235.8,185.4,0.91,1,0.82,1,1,0,0.76,184.8,0.4,172.4,0.93,0.6,0,0,0.82,226,1,22.4,0.1,0.1
18,143,78.4,79,78.4,64,0,0.99,0,0.55,1152,1212.2,1216,1,0.54,1,0.54,1,0.54,1,0.54,129.2,78.4,50.8,0.9,0.99,0.79,0.99,0.99,0,0.76,50.4,0,48.4,0.96,0.4,0,0,0.79,64,1,3.6,0.06,0.06
19,768,378,379,378,389,0,1,0,0.49,7391,7778.8,7780,1,0.51,1,0.51,1,0.51,1,0.51,758.4,378.8,379.6,0.99,1,0.98,1,1,0,0.97,379.2,0,378.6,1,0.4,0,0,0.97,388.6,1,34,0.09,0.09
20,743,370.4,372,370.4,371,0,1,0,0.5,7420,7767,7791,1,0.52,1,0.52,1,0.52,1,0.52,705.6,371.6,334,0.95,1,0.9,1,1,0,0.87,332.6,0,321.8,0.97,1.4,0,0,0.9,369.4,1,24.8,0.07,0.07
21,547,232.6,285,232.4,262,0.2,0.82,0,0.43,5502,5748,5764,0.99,0.51,0.99,0.51,1,0.52,1,0.52,519,283.6,235.4,0.95,1,0.9,0.99,0.99,0,0.86,233.6,0.2,225.6,0.97,1.8,0,0,0.89,260.2,0.99,27.6,0.11,0.11
22,340,42,166,42,174,0,0.25,0,0.12,3828,3983.6,4002,0.96,0.47,0.96,0.47,0.99,0.5,0.99,0.5,304.2,161.6,142.6,0.89,0.97,0.82,0.91,0.91,0,0.73,141.6,0,136,0.96,1,0,0,0.81,172,0.99,12.2,0.07,0.07
23,233,1.4,106,1.4,127,0,0.01,0,0.01,2921,2965.8,3048,0.95,0.46,0.92,0.45,0.99,0.5,0.96,0.49,200.6,99,101.6,0.86,0.93,0.8,0.58,0.59,0,0.54,96.2,0,93.6,0.97,5.4,0,0,0.76,114.2,0.9,4.6,0.04,0.04
24,173,0,92,0,81,0,0,0,0,1944,1937.4,2025,0.92,0.42,0.88,0.4,0.97,0.46,0.93,0.44,135.2,77.6,57.6,0.78,0.84,0.71,0.39,0.45,0,0.39,49.6,0,47.4,0.95,8,0,0,0.61,70.2,0.87,5.2,0.06,0.07
